FID,XLL,XUL,XUR,XLR,YLL,YUL,YUR,YLR
52,-9.4999616,-9.6666283,-9.6666283,-9.4999616,25.1666898,25.1666898,25.3333565,25.3333565
53,-9.3332949,-9.4999616,-9.4999616,-9.3332949,25.1666898,25.1666898,25.3333565,25.3333565
54,-9.1666282,-9.3332949,-9.3332949,-9.1666282,25.1666898,25.1666898,25.3333565,25.3333565
55,-8.9999615,-9.1666282,-9.1666282,-8.9999615,25.1666898,25.1666898,25.3333565,25.3333565
56,-8.8332948,-8.9999615,-8.9999615,-8.8332948,25.1666898,25.1666898,25.3333565,25.3333565
57,-8.6666281,-8.8332948,-8.8332948,-8.6666281,25.1666898,25.1666898,25.3333565,25.3333565
58,-8.4999614,-8.6666281,-8.6666281,-8.4999614,25.1666898,25.1666898,25.3333565,25.3333565
59,-8.3332947,-8.4999614,-8.4999614,-8.3332947,25.1666898,25.1666898,25.3333565,25.3333565
60,-8.166628,-8.3332947,-8.3332947,-8.166628,25.1666898,25.1666898,25.3333565,25.3333565
61,-7.9999613,-8.166628,-8.166628,-7.9999613,25.1666898,25.1666898,25.3333565,25.3333565
62,-7.8332946,-7.9999613,-7.9999613,-7.8332946,25.1666898,25.1666898,25.3333565,25.3333565
63,-7.6666279,-7.8332946,-7.8332946,-7.6666279,25.1666898,25.1666898,25.3333565,25.3333565
64,-7.4999612,-7.6666279,-7.6666279,-7.4999612,25.1666898,25.1666898,25.3333565,25.3333565
65,-7.3332945,-7.4999612,-7.4999612,-7.3332945,25.1666898,25.1666898,25.3333565,25.3333565
66,-7.1666278,-7.3332945,-7.3332945,-7.1666278,25.1666898,25.1666898,25.3333565,25.3333565
67,-6.9999611,-7.1666278,-7.1666278,-6.9999611,25.1666898,25.1666898,25.3333565,25.3333565
68,-6.8332944,-6.9999611,-6.9999611,-6.8332944,25.1666898,25.1666898,25.3333565,25.3333565
69,-6.6666277,-6.8332944,-6.8332944,-6.6666277,25.1666898,25.1666898,25.3333565,25.3333565
70,-6.499961,-6.6666277,-6.6666277,-6.499961,25.1666898,25.1666898,25.3333565,25.3333565
71,-6.3332943,-6.499961,-6.499961,-6.3332943,25.1666898,25.1666898,25.3333565,25.3333565
72,-6.1666276,-6.3332943,-6.3332943,-6.1666276,25.1666898,25.1666898,25.3333565,25.3333565
73,-5.9999609,-6.1666276,-6.1666276,-5.9999609,25.1666898,25.1666898,25.3333565,25.3333565
74,-5.8332942,-5.9999609,-5.9999609,-5.8332942,25.1666898,25.1666898,25.3333565,25.3333565
75,-5.6666275,-5.8332942,-5.8332942,-5.6666275,25.1666898,25.1666898,25.3333565,25.3333565
76,-5.4999608,-5.6666275,-5.6666275,-5.4999608,25.1666898,25.1666898,25.3333565,25.3333565
77,-5.3332941,-5.4999608,-5.4999608,-5.3332941,25.1666898,25.1666898,25.3333565,25.3333565
78,-5.1666274,-5.3332941,-5.3332941,-5.1666274,25.1666898,25.1666898,25.3333565,25.3333565
79,-4.9999607,-5.1666274,-5.1666274,-4.9999607,25.1666898,25.1666898,25.3333565,25.3333565
80,-4.833294,-4.9999607,-4.9999607,-4.833294,25.1666898,25.1666898,25.3333565,25.3333565
81,-4.6666273,-4.833294,-4.833294,-4.6666273,25.1666898,25.1666898,25.3333565,25.3333565
82,-4.4999606,-4.6666273,-4.6666273,-4.4999606,25.1666898,25.1666898,25.3333565,25.3333565
83,-4.3332939,-4.4999606,-4.4999606,-4.3332939,25.1666898,25.1666898,25.3333565,25.3333565
84,-4.1666272,-4.3332939,-4.3332939,-4.1666272,25.1666898,25.1666898,25.3333565,25.3333565
85,-3.9999605,-4.1666272,-4.1666272,-3.9999605,25.1666898,25.1666898,25.3333565,25.3333565
86,-3.8332938,-3.9999605,-3.9999605,-3.8332938,25.1666898,25.1666898,25.3333565,25.3333565
87,-3.6666271,-3.8332938,-3.8332938,-3.6666271,25.1666898,25.1666898,25.3333565,25.3333565
88,-3.4999604,-3.6666271,-3.6666271,-3.4999604,25.1666898,25.1666898,25.3333565,25.3333565
89,-3.3332937,-3.4999604,-3.4999604,-3.3332937,25.1666898,25.1666898,25.3333565,25.3333565
90,-3.166627,-3.3332937,-3.3332937,-3.166627,25.1666898,25.1666898,25.3333565,25.3333565
91,-2.9999603,-3.166627,-3.166627,-2.9999603,25.1666898,25.1666898,25.3333565,25.3333565
92,-2.8332936,-2.9999603,-2.9999603,-2.8332936,25.1666898,25.1666898,25.3333565,25.3333565
93,-2.6666269,-2.8332936,-2.8332936,-2.6666269,25.1666898,25.1666898,25.3333565,25.3333565
94,-2.4999602,-2.6666269,-2.6666269,-2.4999602,25.1666898,25.1666898,25.3333565,25.3333565
95,-2.3332935,-2.4999602,-2.4999602,-2.3332935,25.1666898,25.1666898,25.3333565,25.3333565
96,-2.1666268,-2.3332935,-2.3332935,-2.1666268,25.1666898,25.1666898,25.3333565,25.3333565
97,-1.9999601,-2.1666268,-2.1666268,-1.9999601,25.1666898,25.1666898,25.3333565,25.3333565
